user,mac,staylength
20960,61140,209
21237,45183,209
27729,10355,209
29356,17445,209
30531,6307,209
31418,38438,209
36794,2829,209
37137,59082,209
2049,21956,208
5603,12063,208
5901,34576,208
13765,7582,208
29420,4892,208
31437,40754,208
33323,454,208
33671,1739,208
33768,27400,208
5534,12821,207
14896,28528,207
15118,15321,207
21237,32486,207
21361,54555,207
25336,32519,207
28539,39834,207
30469,13339,207
32708,47533,207
33187,55818,207
36206,13459,207
1717,6816,206
9097,5157,206
9293,22044,206
10228,29057,206
11169,12887,206
14090,33757,206
16734,36080,206
17253,28455,206
22998,45675,206
26127,13163,206
26382,27896,206
27168,48154,206
29692,48380,206
31826,56822,206
36751,45947,206
36911,43838,206
869,8450,205
2575,41980,205
4030,20663,205
6831,37081,205
7901,15419,205
9656,8810,205
11336,7808,205
19662,36955,205
20420,14960,205
20558,54561,205
23470,52947,205
28208,34033,205
28919,42946,205
29938,62808,205
30085,45335,205
32422,13978,205
35899,1819,205
462,47576,204
2904,50359,204
6482,44401,204
6831,59005,204
10767,60844,204
11995,31580,204
13704,4504,204
21627,20354,204
24039,7499,204
26859,46616,204
32970,19150,204
1538,55478,203
2246,8398,203
4389,47131,203
11531,59527,203
11668,44515,203
12610,11425,203
13453,21949,203
19832,58109,203
21563,15874,203
27049,57576,203
29133,49184,203
29420,2200,203
36399,61027,203
36791,45234,203
2475,54606,202
4455,10162,202
6275,5875,202
9553,16022,202
10667,16014,202
11384,17705,202
13204,13193,202
13233,29314,202
14993,11890,202
20120,35694,202
21494,14878,202
23447,4544,202
23967,45387,202
26416,43778,202
26781,34201,202
26803,2790,202
26932,26708,202
30584,61135,202
34240,59833,202
35486,7972,202
3327,11156,201
3331,56972,201
6519,6128,201
9124,56529,201
10487,32188,201
11308,31589,201
12389,40967,201
19472,49124,201
19850,36866,201
25083,20928,201
30963,27362,201
31482,8004,201
32827,23806,201
5785,33227,200
6467,10397,200
9608,56964,200
10320,1015,200
12263,36853,200
14896,3426,200
17900,57898,200
19209,50691,200
21254,39185,200
24417,19851,200
28460,58917,200
30413,6660,200
32279,41337,200
33072,27698,200
33875,29357,200
35898,60646,200
1258,41112,199
3141,26962,199
3601,49297,199
3961,38160,199
11438,28914,199
12465,58016,199
14318,47098,199
19943,21923,199
21033,58024,199
21354,7128,199
21354,49553,199
22845,38987,199
28707,23421,199
29968,28306,199
33320,26499,199
35738,12445,199
36954,54949,199
4032,13136,198
6165,46555,198
6243,32222,198
11431,9409,198
12195,4905,198
12573,8623,198
14388,37897,198
22565,37804,198
32191,35673,198
32512,43091,198
36200,45601,198
36210,48917,198
37126,609,198
2489,56300,197
3361,12299,197
10491,419,197
10806,31339,197
