user,mac,staylength
26950,22914,5
27016,50913,5
27094,34065,5
27234,16099,5
27338,17870,5
27417,11722,5
27464,47774,5
27480,5536,5
27601,37087,5
27751,20069,5
28018,34469,5
28020,5655,5
28039,39095,5
28126,651,5
28167,28106,5
28205,14654,5
28306,19627,5
28310,6731,5
28376,16075,5
28500,37004,5
28525,57137,5
28528,421,5
28558,42510,5
28606,22549,5
28707,9748,5
28764,27350,5
28765,47468,5
28778,59807,5
28842,15312,5
28949,12427,5
29000,60441,5
29201,44955,5
29287,51449,5
29356,17445,5
29441,25727,5
29518,62761,5
29567,53199,5
29592,11554,5
29692,48380,5
29721,59121,5
30189,11543,5
30242,11485,5
30309,39459,5
30648,13732,5
30687,52442,5
30720,34161,5
30774,52103,5
30787,21236,5
30847,8992,5
30963,14219,5
31040,63174,5
31078,16328,5
31294,36287,5
31352,46191,5
31363,53046,5
31377,49834,5
31481,39436,5
31677,14879,5
31684,41257,5
31753,12,5
31778,1163,5
31826,56822,5
31839,32521,5
31884,60630,5
31906,31946,5
32153,44483,5
32158,29381,5
32195,14614,5
32302,56208,5
32391,35969,5
32395,56628,5
32421,23407,5
32592,57615,5
32678,28924,5
32684,6892,5
32711,14982,5
32727,53472,5
32882,46162,5
32899,34649,5
32905,21786,5
32958,51278,5
32990,32665,5
33022,15979,5
33082,59836,5
33163,3507,5
33277,23266,5
33323,26173,5
33445,5693,5
33505,28190,5
33562,22241,5
33655,54094,5
33671,12056,5
33678,12740,5
33764,32523,5
33792,29469,5
33851,5597,5
33865,34931,5
33963,50080,5
34026,55280,5
34191,865,5
34219,57776,5
34286,16693,5
34499,39827,5
34743,40441,5
34794,45670,5
34961,16271,5
35004,48031,5
35018,33448,5
35127,45459,5
35161,23979,5
35235,10609,5
35290,53180,5
35336,34928,5
35488,26832,5
35518,52114,5
35519,28063,5
35577,36013,5
35648,11282,5
35995,29728,5
36026,42154,5
36094,56795,5
36688,36893,5
36751,41441,5
36753,36457,5
36769,53690,5
36917,24907,5
37208,4613,5
37322,36124,5
37372,59949,5
57799,17799,5
49,33907,4
264,14857,4
287,11681,4
481,36353,4
584,51155,4
625,53623,4
648,31117,4
735,10274,4
745,22098,4
801,7131,4
808,52041,4
824,36459,4
830,59743,4
867,35487,4
887,5072,4
914,35964,4
989,32650,4
1029,32885,4
1069,41743,4
1246,14529,4
1268,2888,4
1408,8357,4
1459,36719,4
1490,61432,4
1634,11982,4
1691,18061,4
1737,340,4
1765,40785,4
1828,10942,4
1842,36722,4
1939,18684,4
2099,46606,4
2099,56123,4
2173,3375,4
2185,23345,4
2280,43542,4
2325,23340,4
2344,4623,4
2495,41369,4
2531,57665,4
2575,41980,4
2644,46488,4
2773,48476,4
2948,5271,4
3024,46923,4
3259,61141,4
3262,39631,4
3273,5526,4
3362,436,4
3366,15358,4
3412,51712,4
3473,35159,4
3476,8497,4
3559,39340,4
3626,57357,4
3707,40155,4
3821,11379,4
3912,60727,4
3985,45337,4
4043,21738,4
4153,58587,4
4193,58441,4
4511,35497,4
4576,18122,4
4592,17358,4
4603,1044,4
4651,40224,4
4657,3039,4
4764,6964,4
4772,19487,4
4822,19652,4
4827,40311,4
4849,21034,4
4900,45538,4
4994,17144,4
5109,18532,4
5214,53756,4
5229,26786,4
5370,41706,4
5433,37938,4
5450,33290,4
5576,51036,4
5675,11926,4
5828,36795,4
5841,23717,4
5935,18607,4
5966,60696,4
5983,9272,4
6116,13638,4
6136,52042,4
6241,61458,4
6256,37535,4
6330,28849,4
6380,3215,4
6472,14866,4
6528,7565,4
6534,39305,4
6539,54258,4
6543,36524,4
6579,56974,4
6617,24577,4
6618,51994,4
6721,18503,4
6732,37317,4
6736,20102,4
6822,30611,4
6907,47488,4
6909,48121,4
7035,7500,4
