user,mac,staylength
36210,25970,4
36240,27139,4
36392,20834,4
36632,38140,4
36780,40324,4
36785,34983,4
36809,49677,4
36809,58661,4
36885,22414,4
36905,25056,4
37002,39706,4
37002,62478,4
37030,54334,4
37065,24563,4
37264,23845,4
37405,613,4
17,21350,3
206,2250,3
264,20299,3
269,56243,3
331,52230,3
332,1560,3
334,59273,3
336,43652,3
419,3455,3
480,33315,3
669,6457,3
669,57890,3
691,30244,3
692,58176,3
716,20893,3
716,49541,3
747,28625,3
780,30445,3
801,7131,3
840,13030,3
930,42852,3
939,54556,3
981,26119,3
1150,33675,3
1157,38756,3
1235,33042,3
1395,60863,3
1564,55969,3
1574,47972,3
1581,59674,3
1653,32223,3
1717,6816,3
1872,59924,3
1914,40396,3
1937,51916,3
2178,11075,3
2201,52499,3
2228,12998,3
2308,198,3
2384,30311,3
2470,53177,3
2483,33547,3
2492,11433,3
2527,22768,3
2551,54982,3
2791,52473,3
2811,32027,3
2849,31794,3
2862,44319,3
2904,46008,3
2980,25827,3
3096,45232,3
3240,43922,3
3308,54532,3
3316,15595,3
3342,50513,3
3360,49642,3
3366,56194,3
3366,60977,3
3396,53137,3
3416,22679,3
3465,59249,3
3501,61673,3
3530,62289,3
3576,40096,3
3587,27790,3
3587,35768,3
3607,26949,3
3661,51613,3
3661,56190,3
3736,268,3
3914,3343,3
3951,7234,3
4102,9335,3
4123,24782,3
4268,27872,3
4341,32459,3
4345,37097,3
4379,11436,3
4389,47131,3
4424,60056,3
4555,12874,3
4586,60239,3
4587,41626,3
4650,43781,3
4735,53548,3
4761,52273,3
4878,19658,3
4888,12093,3
5029,47255,3
5038,30610,3
5068,42001,3
5080,11366,3
5105,16394,3
5192,47695,3
5197,50849,3
5222,45230,3
5281,22032,3
5282,33531,3
5313,35975,3
5389,50750,3
5421,13096,3
5435,2349,3
5436,20838,3
5466,11836,3
5506,7709,3
5546,23879,3
5572,21553,3
5575,41001,3
5662,61539,3
5711,33512,3
5720,29292,3
5755,24739,3
5794,44154,3
5797,4155,3
5851,3628,3
5880,6823,3
5889,24502,3
5931,48887,3
5957,57885,3
6058,38224,3
6125,27575,3
6339,53865,3
6371,17792,3
6410,3908,3
6467,35522,3
6519,6128,3
6534,39305,3
6682,22538,3
6707,35574,3
6710,55533,3
6737,34940,3
6745,40149,3
6802,35957,3
6821,43247,3
6835,33458,3
6867,12731,3
6946,57856,3
6991,50286,3
6993,27691,3
7016,11008,3
7045,15859,3
7124,59961,3
7192,13636,3
7271,5347,3
7312,33581,3
7356,51327,3
7363,52530,3
7410,954,3
7434,5371,3
7511,24027,3
7630,2405,3
7726,24341,3
7814,22104,3
7828,58916,3
7868,35592,3
7910,49204,3
7916,45060,3
7935,7640,3
8010,20803,3
8025,46772,3
8048,2696,3
8095,2681,3
8150,2381,3
8179,8523,3
8179,29062,3
8206,53615,3
8218,34302,3
8261,44973,3
8273,24622,3
8279,9395,3
8362,63268,3
8374,24697,3
8481,56568,3
8563,14752,3
8563,28444,3
8678,17766,3
8791,45294,3
8852,11455,3
8873,30615,3
8936,22109,3
8942,21111,3
8943,28195,3
8953,56719,3
8956,44133,3
9002,35090,3
9097,5157,3
9130,20948,3
9149,51983,3
9243,49668,3
9293,62924,3
9301,6510,3
9468,12508,3
9493,5551,3
9495,56935,3
9497,57493,3
9500,47062,3
9583,62245,3
9624,29424,3
9659,5804,3
9677,41797,3
9743,11292,3
9831,24676,3
9831,30203,3
9842,15334,3
9936,45187,3
9987,11726,3
10043,5032,3
10164,13300,3
10216,10995,3
10216,29826,3
10220,19829,3
10284,21419,3
10311,39300,3
10392,14677,3
10454,20873,3
10464,52478,3
10471,58347,3
10606,40619,3
10614,58449,3
10675,8405,3
10694,36647,3
10720,49752,3
10738,21011,3
10792,28353,3
10806,28682,3
10820,56774,3
11061,25451,3
11077,15071,3
11184,37231,3
11233,59342,3
11243,54817,3
11259,55405,3
11265,11661,3
11533,4402,3
11539,35331,3
11637,25446,3
11651,47761,3
11764,8865,3
11877,14607,3
11933,50322,3
11959,31306,3
11959,55414,3
12169,54988,3
12250,31876,3
12271,21667,3
12405,37384,3
12409,57449,3
12431,1288,3
12433,52600,3
12465,56586,3
12499,7174,3
12611,18798,3
12706,6880,3
12870,16244,3
12947,11925,3
12993,36758,3
13085,33187,3
13155,57159,3
13182,26021,3
13202,38125,3
13225,20688,3
13306,14170,3
13445,40228,3
13491,22980,3
13505,4317,3
13565,11060,3
13573,56803,3
13672,61729,3
13673,15258,3
13698,61463,3
13742,4577,3
13900,27158,3
13941,8043,3
14038,217,3
14079,62738,3
14211,52487,3
14298,23139,3
14313,55508,3
14321,62385,3
14416,22726,3
14453,23519,3
14479,54890,3
14523,27937,3
14588,1222,3
14589,57760,3
14603,37711,3
14627,48931,3
14636,48508,3
14702,60363,3
14744,60736,3
14748,25514,3
14752,36794,3
14828,11518,3
14883,45085,3
14927,15695,3
14967,28448,3
15128,32596,3
15158,5595,3
15212,29870,3
15303,29257,3
15304,11048,3
15304,57454,3
15359,43298,3
15362,9505,3
15408,6955,3
